sku_id,total_demand,average_daily_demand,median_daily_demand,std_demand,min_demand,max_demand,coefficient_of_variation,zero_demand_days,zero_demand_ratio,active_days,event_affected_days,event_affected_ratio,promotion_days,holiday_days,anomaly_days,demand_behavior_class,data_sufficiency_class
SKU-BAT-008,515,2.845303867403315,0.0,4.908987510614979,0,46,1.7252946396530315,119,0.6574585635359116,181,15,0.08287292817679558,0,15,1,intermittent,high
SKU-BBQ-006,2309,12.756906077348066,10.0,12.328220531997875,0,95,0.9663958061029083,15,0.08287292817679558,181,23,0.1270718232044199,15,15,1,variable,high
SKU-BIKE-MT-001,1790,9.88950276243094,9.0,2.6031925434066308,6,19,0.2632278493612291,0,0.0,181,15,0.08287292817679558,0,15,2,smooth,high
SKU-BIKE-ROAD-001,2215,12.237569060773481,12.0,2.710867563455102,8,22,0.22152010337940112,0,0.0,181,15,0.08287292817679558,0,15,1,smooth,high
SKU-CHC-005,3824,21.12707182320442,20.0,5.6095540266714705,15,51,0.26551497877289126,0,0.0,181,29,0.16022099447513813,14,15,7,smooth,high
SKU-COF-001,8032,44.3756906077348,46.0,7.1135446074037105,3,58,0.1603027357993117,0,0.0,181,15,0.08287292817679558,0,15,1,smooth,high
SKU-FIL-009,182,1.0055248618784531,0.0,1.939350514330508,-4,6,1.9286947422737468,138,0.7624309392265194,181,15,0.08287292817679558,0,15,1,intermittent,high
SKU-GFT-010,125,0.6906077348066298,0.0,1.5251120781204013,0,5,2.208362289118341,148,0.8176795580110497,181,15,0.08287292817679558,0,15,0,intermittent,high
SKU-SUN-003,1799,9.939226519337016,5.0,10.604593211254343,0,43,1.0669435081917933,25,0.13812154696132597,181,35,0.19337016574585636,20,15,1,erratic,high
SKU-SUP-004,6748,37.28176795580111,40.0,18.909525793785956,4,83,0.5072057155713185,0,0.0,181,34,0.1878453038674033,19,15,0,variable,high
SKU-TEA-002,5252,29.016574585635357,32.0,17.554510385311726,4,148,0.6049821743605146,0,0.0,181,33,0.18232044198895028,18,15,1,variable,high
SKU-UMR-007,1227,6.779005524861878,7.0,1.344040800047204,3,10,0.19826518729302683,0,0.0,181,15,0.08287292817679558,0,15,0,smooth,high
