sku_id,champion_model,champion_wape,champion_mae,champion_bias,champion_confidence_score,champion_risk_level,champion_selection_score,champion_selection_metric,champion_metric_warning,selection_reason,model_persisted_flag,model_artifact_path,model_metadata_path,future_forecast_reusable_flag,future_forecast_reuse_reason
SKU-BAT-008,random_forest,0.13251590438546954,0.40638210678210657,0.40638210678210657,0.6767428727151423,MEDIUM_RISK,1.2999999999999998,weighted_rank_wape_mae_mase_bias,INTERMITTENT_DEMAND_USE_MASE,"Selected best robust rank score for intermittent or low-demand SKU (1.3000); considered WAPE, MAE, MASE, and bias.",True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-BAT-008__random_forest.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-BAT-008__random_forest__metadata.json,True,Persisted champion model can be reused for future forecasting.
SKU-BBQ-006,gradient_boosting,0.013304702716983764,0.3304001174717635,-0.2687876142988243,0.8770335782591818,LOW_RISK,0.013304702716983764,wape,,Selected lowest WAPE on the shared final test period (0.0133).,True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-BBQ-006__gradient_boosting.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-BBQ-006__gradient_boosting__metadata.json,True,Persisted champion model can be reused for future forecasting.
SKU-CHC-005,gradient_boosting,0.00361127038746507,0.06861413736183633,-0.0013302215568921601,0.9715421832144412,LOW_RISK,0.00361127038746507,wape,,Selected lowest WAPE on the shared final test period (0.0036).,True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-CHC-005__gradient_boosting.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-CHC-005__gradient_boosting__metadata.json,True,Persisted champion model can be reused for future forecasting.
SKU-COF-001,gradient_boosting,0.004730195815460029,0.20560584477866256,0.20038638362756747,0.9788810204272373,LOW_RISK,0.004730195815460029,wape,,Selected lowest WAPE on the shared final test period (0.0047).,True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-COF-001__gradient_boosting.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-COF-001__gradient_boosting__metadata.json,True,Persisted champion model can be reused for future forecasting.
SKU-FIL-009,gradient_boosting,4.552755478746981e-05,3.7939628989558175e-05,4.207384121327632e-06,0.6927365724790615,MEDIUM_RISK,1.15,weighted_rank_wape_mae_mase_bias,LOW_DEMAND_WAPE_UNSTABLE;INTERMITTENT_DEMAND_USE_MASE,"Selected best robust rank score for intermittent or low-demand SKU (1.1500); considered WAPE, MAE, MASE, and bias.",True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-FIL-009__gradient_boosting.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-FIL-009__gradient_boosting__metadata.json,True,Persisted champion model can be reused for future forecasting.
SKU-GFT-010,gradient_boosting,0.1111468032398793,0.06668808194392757,0.06667121616850172,0.638439161333911,MEDIUM_RISK,1.45,weighted_rank_wape_mae_mase_bias,LOW_DEMAND_WAPE_UNSTABLE;INTERMITTENT_DEMAND_USE_MASE,"Selected best robust rank score for intermittent or low-demand SKU (1.4500); considered WAPE, MAE, MASE, and bias.",True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-GFT-010__gradient_boosting.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-GFT-010__gradient_boosting__metadata.json,True,Persisted champion model can be reused for future forecasting.
SKU-SUN-003,naive,0.15348837209302327,4.4,-0.8,0.72010023085242,MEDIUM_RISK,0.15348837209302327,wape,,Selected lowest WAPE on the shared final test period (0.1535).,False,,,False,Champion is rule-based or not configured for model persistence; future forecast uses native rule/fallback logic.
SKU-SUP-004,moving_average_7,0.17325227963525835,1.9,1.0714285714285714,0.8294245150932132,MEDIUM_RISK,0.17325227963525835,wape,,Selected lowest WAPE on the shared final test period (0.1733).,False,,,False,Champion is rule-based or not configured for model persistence; future forecast uses native rule/fallback logic.
SKU-TEA-002,gradient_boosting,0.06654594189994732,3.373879254327329,-3.1890857963144517,0.9135356253188412,LOW_RISK,0.06654594189994732,wape,,Selected lowest WAPE on the shared final test period (0.0665).,True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-TEA-002__gradient_boosting.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-TEA-002__gradient_boosting__metadata.json,True,Persisted champion model can be reused for future forecasting.
SKU-UMR-007,gradient_boosting,0.005787377245943812,0.03337387545160932,0.033368607074970434,0.9781453479708776,LOW_RISK,0.005787377245943812,wape,,Selected lowest WAPE on the shared final test period (0.0058).,True,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-UMR-007__gradient_boosting.joblib,C:\Users\iTECH\OneDrive - Beirut Arab University\Desktop\apps i made\SC project\phase 1\outputs\models\SKU-UMR-007__gradient_boosting__metadata.json,True,Persisted champion model can be reused for future forecasting.
