planning_run_id,schedule_candidate_window_id,candidate_id,machine_id,machine_name,workstation_id,workstation_name,planned_downtime_hours,production_impact_level,bottleneck_impact_level,machine_availability_impact_level,estimated_capacity_at_risk_hours,window_impact_level,note_no_capacity_reduction_applied_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,SCHED-WIN-001,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-002,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-003,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-004,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-005,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-006,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-007,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-008,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-009,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,SCHED-WIN-010,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WS-FRAME-PREP,Frame Preparation Station,0.5,CRITICAL,CRITICAL,CRITICAL,6.06,CRITICAL,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
