planning_run_id,schedule_candidate_window_id,candidate_id,machine_id,machine_name,candidate_type,maintenance_plan_id,required_skill_id,required_crew_type,required_worker_count,maintenance_level,estimated_duration_hours,planned_downtime_hours,candidate_window_period,candidate_window_day,candidate_window_shift,crew_capacity_available_flag,spare_part_ready_flag,production_bottleneck_sensitive_flag,schedule_feasibility_status,schedule_feasibility_reason,scheduling_priority_score,recommended_scheduling_priority,schedule_assignment_status,note_no_schedule_created_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,SCHED-WIN-001,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Friday,08:00-16:30,True,True,True,BLOCKED_BY_PRODUCTION_IMPACT,BLOCKERS=PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-002,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,08:00-16:30,True,True,True,BLOCKED_BY_PRODUCTION_IMPACT,BLOCKERS=PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-003,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,08:00-16:30,True,True,True,BLOCKED_BY_PRODUCTION_IMPACT,BLOCKERS=PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-004,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,08:00-16:30,True,True,True,BLOCKED_BY_PRODUCTION_IMPACT,BLOCKERS=PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-005,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,08:00-16:30,True,True,True,BLOCKED_BY_PRODUCTION_IMPACT,BLOCKERS=PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-006,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Friday,08:00-16:30,False,True,True,MULTI_BLOCKED,BLOCKERS=CREW+PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-007,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,08:00-16:30,False,True,True,MULTI_BLOCKED,BLOCKERS=CREW+PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-008,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,08:00-16:30,False,True,True,MULTI_BLOCKED,BLOCKERS=CREW+PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-009,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,08:00-16:30,False,True,True,MULTI_BLOCKED,BLOCKERS=CREW+PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,SCHED-WIN-010,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MP-FRAME-LIGHT-001,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,0.75,0.5,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,08:00-16:30,False,True,True,MULTI_BLOCKED,BLOCKERS=CREW+PRODUCTION_IMPACT,232.5,CRITICAL,NOT_SCHEDULED_CANDIDATE_ONLY,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
