date,sku_id,quantity_demanded,anomaly_reason,z_score
2026-03-11,SKU-BAT-008,46,statistical_outlier,8.79095659528179
2026-05-23,SKU-BBQ-006,95,statistical_outlier,6.671124491096678
2026-02-07,SKU-CHC-005,49,statistical_outlier,4.968831398052241
2026-02-08,SKU-CHC-005,45,statistical_outlier,4.255762234089937
2026-02-10,SKU-CHC-005,46,statistical_outlier,4.434029525080513
2026-02-11,SKU-CHC-005,51,statistical_outlier,5.325365980033393
2026-02-12,SKU-CHC-005,42,statistical_outlier,3.720960361118209
2026-02-13,SKU-CHC-005,39,statistical_outlier,3.1861584881464813
2026-02-14,SKU-CHC-005,51,statistical_outlier,5.325365980033393
2026-02-03,SKU-COF-001,3,statistical_outlier,-5.816466036449872
2026-04-20,SKU-FIL-009,-4,negative_quantity,-2.581031548908234
2026-06-21,SKU-SUN-003,43,statistical_outlier,3.1175899746514144
2026-06-18,SKU-TEA-002,148,statistical_outlier,6.777940415468431
