planning_run_id,period_start,period_end,workstation_id,required_machine_type,operation_count,finished_sku_count,total_planned_production_qty,machine_required_hours,available_machine_hours,machine_utilization_pct,machine_capacity_gap_hours,machine_capacity_status,machine_overload_flag,machine_near_capacity_flag,no_machine_capacity_record_flag,capacity_planning_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,2,2,95.981,36.75878333333333,160,22.97423958333333,123.24121666666667,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,2,2,95.981,70.25153333333333,640,10.976802083333332,569.7484666666667,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,WS-FORK-SUSP,FORK_SUSPENSION_BENCH,1,1,41.9815,21.95710833333333,160,13.723192708333332,138.04289166666666,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,2,2,95.981,40.32481666666666,160,25.203010416666665,119.67518333333334,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,WS-PACK,PACKAGING_TOOLS,2,2,95.981,25.57796666666667,160,15.986229166666668,134.42203333333333,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,WS-QC,INSPECTION_TOOLS,2,2,95.981,31.826399999999996,160,19.891499999999997,128.1736,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,WS-WHEEL-SUB,WHEEL_TRUING_STAND,2,2,95.981,46.42355,360,12.895430555555556,313.57645,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-07-06,2026-07-12,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,2,2,175.9839,67.09263833333333,160,41.93289895833333,92.90736166666667,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-07-06,2026-07-12,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,2,2,175.9839,128.25248,640,20.03945,511.74752,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
PHASE4-MPS-20260628173744,2026-07-06,2026-07-12,WS-FORK-SUSP,FORK_SUSPENSION_BENCH,1,1,76.9741,40.03661833333334,160,25.02288645833334,119.96338166666666,FEASIBLE,False,False,False,MPS_ROUTING_MACHINE_TYPE_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_MACHINE_MASTER,True
