planning_run_id,period_start,period_end,finished_sku,finished_product_name,forecast_demand_qty,finished_goods_on_hand_qty,available_finished_goods_qty,period_sequence,period_starting_inventory_qty,net_finished_goods_requirement_qty,planned_production_qty,projected_ending_inventory_qty,projected_shortage_qty,rolling_balance_applied_flag,mps_planning_basis,mps_status,mps_review_required_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,54.9815,14,13,1,13.0,41.9815,41.9815,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,2,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,3,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,4,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-07-27,2026-08-02,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,5,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-08-03,2026-08-09,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,6,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-08-10,2026-08-16,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,7,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-08-17,2026-08-23,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,8,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-08-24,2026-08-30,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,9,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-08-31,2026-09-06,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,10,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
PHASE4-MPS-20260711131832,2026-09-07,2026-09-13,SKU-BIKE-MT-001,Mountain Bike,76.97409999999999,14,13,11,0.0,76.9741,76.9741,0.0,0.0,True,ROLLING_PROJECTED_AVAILABLE_BALANCE,PRODUCTION_PLANNED,False,PHASE1_FORECAST_PHASE3_FINISHED_GOODS_INVENTORY,True
