planning_run_id,bottleneck_review_item_id,period_start,period_end,workstation_id,workstation_name,bottleneck_issue_type,bottleneck_issue_severity,bottleneck_visibility_score,bottleneck_visibility_level,bottleneck_issue_description,evidence_layers,suggested_review_action,auto_action_allowed,advisory_only_flag
PHASE4-MPS-20260701125813,BN-REV-0001,,,WS-FINAL-ASM,Final Assembly Station,QUEUE_PRESSURE_SUPPORTED_BOTTLENECK_CANDIDATE,CRITICAL,228.0,CRITICAL,"Planning-based bottleneck candidate: capacity_level=CRITICAL, queue_level=CRITICAL, overloaded_periods=13, critical_queue_periods=13, combined_score=228.00.",WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE;ROUTING_JOIN_PRESSURE,REVIEW_FINAL_ASSEMBLY_CAPACITY,False,True
PHASE4-MPS-20260701125813,BN-REV-0002,,,WS-FRAME-PREP,Frame Preparation Station,QUEUE_PRESSURE_SUPPORTED_BOTTLENECK_CANDIDATE,CRITICAL,203.0,CRITICAL,"Planning-based bottleneck candidate: capacity_level=CRITICAL, queue_level=CRITICAL, overloaded_periods=13, critical_queue_periods=12, combined_score=203.00.",WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260701125813,BN-REV-0003,,,WS-BRAKE-SUB,Brake Subassembly Station,QUEUE_PRESSURE_SUPPORTED_BOTTLENECK_CANDIDATE,CRITICAL,203.0,CRITICAL,"Planning-based bottleneck candidate: capacity_level=CRITICAL, queue_level=CRITICAL, overloaded_periods=13, critical_queue_periods=12, combined_score=203.00.",WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260701125813,BN-REV-0004,,,WS-WHEEL-SUB,Wheel Subassembly Station,QUEUE_PRESSURE_SUPPORTED_BOTTLENECK_CANDIDATE,CRITICAL,181.0,CRITICAL,"Planning-based bottleneck candidate: capacity_level=CRITICAL, queue_level=CRITICAL, overloaded_periods=13, critical_queue_periods=12, combined_score=181.00.",WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260701125813,BN-REV-0005,,,WS-QC,Final Quality Control Station,QUEUE_PRESSURE_SUPPORTED_BOTTLENECK_CANDIDATE,HIGH,150.0,HIGH,"Planning-based bottleneck candidate: capacity_level=CRITICAL, queue_level=HIGH, overloaded_periods=12, critical_queue_periods=0, combined_score=150.00.",WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260701125813,BN-REV-0006,,,WS-PACK,Packaging Station,QUEUE_PRESSURE_SUPPORTED_BOTTLENECK_CANDIDATE,HIGH,119.0,HIGH,"Planning-based bottleneck candidate: capacity_level=CRITICAL, queue_level=HIGH, overloaded_periods=12, critical_queue_periods=0, combined_score=119.00.",WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260701125813,BN-REV-0007,,,WS-FORK-SUSP,Fork and Suspension Prep Station,QUEUE_PRESSURE_SUPPORTED_BOTTLENECK_CANDIDATE,HIGH,119.0,HIGH,"Planning-based bottleneck candidate: capacity_level=CRITICAL, queue_level=HIGH, overloaded_periods=12, critical_queue_periods=0, combined_score=119.00.",WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260701125813,BN-REV-0008,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,RECURRING_WORKSTATION_OVERLOAD,HIGH,81.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260701125813,BN-REV-0009,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,RECURRING_WORKSTATION_OVERLOAD,HIGH,81.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260701125813,BN-REV-0010,2026-06-29,2026-07-05,WS-BRAKE-SUB,Brake Subassembly Station,RECURRING_WORKSTATION_OVERLOAD,HIGH,81.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260701125813,BN-REV-0011,2026-06-29,2026-07-05,WS-FINAL-ASM,Final Assembly Station,ROUTING_JOIN_PRESSURE_BOTTLENECK_RISK,CRITICAL,134.0,CRITICAL,WORKSTATION_OVERLOAD;QUEUE_PRESSURE;ROUTING_JOIN_PRESSURE,WORKSTATION_OVERLOAD;QUEUE_PRESSURE;ROUTING_JOIN_PRESSURE,REVIEW_FINAL_ASSEMBLY_CAPACITY,False,True
PHASE4-MPS-20260701125813,BN-REV-0012,2026-07-06,2026-07-12,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_BOTTLENECK_RISK,HIGH,115.0,HIGH,WORKSTATION_OVERLOAD;LABOR_STRESS_WARNING;QUEUE_PRESSURE,WORKSTATION_OVERLOAD;LABOR_STRESS_WARNING;QUEUE_PRESSURE,REVIEW_LABOR_STRESS,False,True
