planning_run_id,schedule_candidate_id,operation_id,workstation_id,machine_id,required_hours,available_hours_reference,current_utilization_pct,quality_adjusted_utilization_pct,maintenance_impact_level,capacity_feasibility_status,capacity_blocker_flag,note_no_capacity_change_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,MT-OP-010,WS-FRAME-PREP,M-FRAME-JIG-001,19.1324,36.25,111.2409,111.2409,CRITICAL,CAPACITY_BLOCKED,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,MT-OP-020,WS-FORK-SUSP,M-FORK-BENCH-001,23.4683,36.25,60.5713,65.0479,HIGH,FEASIBLE,False,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,MT-OP-030,WS-WHEEL-SUB,M-WHEEL-TRUE-001,23.5645,36.25,128.065,138.0477,CRITICAL,CAPACITY_BLOCKED,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,MT-OP-040,WS-BRAKE-SUB,M-BRAKE-BENCH-001,17.8226,36.25,101.4035,102.6778,HIGH,CAPACITY_BLOCKED,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,MT-OP-050,WS-FINAL-ASM,M-FINAL-STAND-001,38.136,36.25,193.7973,218.4047,CRITICAL,CAPACITY_BLOCKED,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,MT-OP-060,WS-QC,M-QC-TOOLS-001,15.8583,36.25,87.797,90.0999,HIGH,HIGH_UTILIZATION_WARNING,False,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,MT-OP-070,WS-PACK,M-PACK-BENCH-001,11.9794,36.25,70.5599,70.7019,HIGH,FEASIBLE,False,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260706,MT-OP-010,WS-FRAME-PREP,M-FRAME-JIG-001,35.0797,36.25,202.2771,202.2771,CRITICAL,CAPACITY_BLOCKED,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260706,MT-OP-020,WS-FORK-SUSP,M-FORK-BENCH-001,43.0296,36.25,110.4458,118.6224,HIGH,CAPACITY_BLOCKED,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260706,MT-OP-030,WS-WHEEL-SUB,M-WHEEL-TRUE-001,43.2061,36.25,233.8143,252.058,CRITICAL,CAPACITY_BLOCKED,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
