planning_run_id,finished_sku,operation_id,operation_name,required_input_wip_item_id,wip_buffer_id,accepted_wip_available_qty,required_wip_qty,wip_surplus_qty,wip_shortage_qty,wip_coverage_pct,downstream_can_consume_wip_flag,note_no_wip_consumption_flag,balance_status,source_phase,advisory_only_flag
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,,,0.0,0.0,0.0,0.0,0.0,False,True,NO_WIP_REQUIRED_FIRST_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,0.0,41.9815,0.0,41.9815,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,0.0,41.9815,0.0,41.9815,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,0.0,41.9815,0.0,41.9815,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-FORK-READY,BUF-MT-FORK,0.0,41.9815,0.0,41.9815,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-WHEEL-SET-READY,BUF-MT-WHEEL,45.0,41.9815,3.018500000000003,0.0,100.0,True,True,WIP_FULLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-BRAKE-SET-READY,BUF-MT-BRAKE,39.0,41.9815,0.0,2.981499999999997,92.89806224170171,True,True,WIP_PARTIALLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,0.0,41.9815,0.0,41.9815,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-070,Packaging,WIP-MT-QC-PASSED,BUF-MT-QC,18.0,41.9815,0.0,23.981499999999997,42.87602872693925,True,True,WIP_PARTIALLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,,,0.0,0.0,0.0,0.0,0.0,False,True,NO_WIP_REQUIRED_FIRST_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-FORK-READY,BUF-MT-FORK,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-WHEEL-SET-READY,BUF-MT-WHEEL,45.0,76.9741,0.0,31.974100000000007,58.461222671002325,True,True,WIP_PARTIALLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-BRAKE-SET-READY,BUF-MT-BRAKE,39.0,76.9741,0.0,37.97410000000001,50.666392981535346,True,True,WIP_PARTIALLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-070,Packaging,WIP-MT-QC-PASSED,BUF-MT-QC,18.0,76.9741,0.0,58.97410000000001,23.384489068400928,True,True,WIP_PARTIALLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,,,0.0,0.0,0.0,0.0,0.0,False,True,NO_WIP_REQUIRED_FIRST_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-FORK-READY,BUF-MT-FORK,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-WHEEL-SET-READY,BUF-MT-WHEEL,45.0,76.9741,0.0,31.974100000000007,58.461222671002325,True,True,WIP_PARTIALLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WIP-MT-BRAKE-SET-READY,BUF-MT-BRAKE,39.0,76.9741,0.0,37.97410000000001,50.666392981535346,True,True,WIP_PARTIALLY_COVERS_OPERATION,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711134649,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,0.0,76.9741,0.0,76.9741,0.0,False,True,WIP_SHORTAGE,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
