planning_run_id,forecast_period,planning_period,period_start,period_end,finished_sku,component_sku,component_name,finished_goods_forecast_qty,mps_planned_production_qty,quantity_per_finished_unit,gross_component_requirement_qty,bom_explosion_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260630131851,2026-06-29,2026-06-29,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,54.9815,41.9815,1,41.9815,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-06-29,2026-06-29,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-WHEEL-MT-29,Mountain Bike 29 Inch Wheel,54.9815,41.9815,2,83.963,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-06-29,2026-06-29,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-TIRE-MT-29,Mountain Bike 29 Inch Tire,54.9815,41.9815,2,83.963,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-06-29,2026-06-29,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,54.9815,41.9815,1,41.9815,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-06-29,2026-06-29,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,54.9815,41.9815,1,41.9815,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-06-29,2026-06-29,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-PEDAL-SET-001,Pedal Set,54.9815,41.9815,1,41.9815,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-06-29,2026-06-29,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,54.9815,41.9815,1,41.9815,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-07-06,2026-07-06,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.97409999999999,76.9741,1,76.9741,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-07-06,2026-07-06,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-WHEEL-MT-29,Mountain Bike 29 Inch Wheel,76.97409999999999,76.9741,2,153.9482,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-07-06,2026-07-06,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-TIRE-MT-29,Mountain Bike 29 Inch Tire,76.97409999999999,76.9741,2,153.9482,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-07-06,2026-07-06,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,76.97409999999999,76.9741,1,76.9741,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-07-06,2026-07-06,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,76.97409999999999,76.9741,1,76.9741,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-07-06,2026-07-06,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-PEDAL-SET-001,Pedal Set,76.97409999999999,76.9741,1,76.9741,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
PHASE4-MPS-20260630131851,2026-07-06,2026-07-06,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,76.97409999999999,76.9741,1,76.9741,MPS_PLANNED_PRODUCTION,PHASE4_MPS_BOM_BRIDGE,True
