planning_run_id,period_start,period_end,workstation_count,overloaded_workstation_count,near_capacity_workstation_count,feasible_workstation_count,max_workstation_utilization_pct,avg_workstation_utilization_pct,total_required_workstation_hours,total_available_workstation_hours,total_workstation_capacity_gap_hours,machine_constraint_count,labor_hard_overload_count,labor_high_utilization_warning_count,max_machine_utilization_pct,max_labor_utilization_pct,constraint_review_required_count,main_constraint_layer,capacity_feasibility_status,capacity_feasibility_reason,capacity_planning_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260628173744,2026-06-29,2026-07-05,7,4,1,2,193.7973333333333,107.63355993431854,273.12015833333334,253.75,-19.37015833333331,0,0,0,25.203010416666665,50.40602083333333,4,WORKSTATION_CALENDAR,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=4, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-07-06,2026-07-12,7,7,0,0,353.79994482758616,196.4020052545156,498.37008833333334,253.75,-244.62008833333334,0,0,3,45.828396874999996,91.65679374999999,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-07-13,2026-07-19,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-07-20,2026-07-26,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-07-27,2026-08-02,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-08-03,2026-08-09,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-08-10,2026-08-16,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-08-17,2026-08-23,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-08-24,2026-08-30,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-08-31,2026-09-06,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-09-07,2026-09-13,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-09-14,2026-09-20,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
PHASE4-MPS-20260628173744,2026-09-21,2026-09-27,7,7,0,0,354.5433011494253,196.7843027914614,499.3401683333334,253.75,-245.5901683333334,0,0,3,45.92523645833334,91.85047291666667,7,MULTI_LAYER,NOT_CAPACITY_FEASIBLE,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",CRP_CAPACITY_FEASIBILITY_SUMMARY,PHASE4_STEP4C_CAPACITY_SUMMARY,True
