planning_run_id,period_start,period_end,workstation_id,required_labor_skill,operation_count,finished_sku_count,total_planned_production_qty,labor_required_hours,available_labor_hours,labor_utilization_pct,labor_capacity_gap_hours,labor_capacity_status,labor_overload_flag,labor_near_capacity_flag,no_labor_capacity_record_flag,labor_soft_warning_threshold_pct,labor_hard_overload_threshold_pct,labor_high_utilization_warning_flag,labor_hard_overload_flag,labor_capacity_interpretation,capacity_planning_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260701140123,2026-06-29,2026-07-05,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TECHNICIAN,2,2,95.981,36.75878333333333,80,45.94847916666666,43.24121666666667,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-06-29,2026-07-05,WS-FINAL-ASM,FINAL_ASSEMBLY_OPERATOR,2,2,95.981,70.25153333333333,160,43.90720833333333,89.74846666666667,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-06-29,2026-07-05,WS-FORK-SUSP,SUSPENSION_TECHNICIAN,1,1,41.9815,21.95710833333333,80,27.446385416666665,58.04289166666667,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-06-29,2026-07-05,WS-FRAME-PREP,FRAME_TECHNICIAN,2,2,95.981,40.32481666666666,80,50.40602083333333,39.67518333333334,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-06-29,2026-07-05,WS-PACK,PACKAGING_OPERATOR,2,2,95.981,25.57796666666667,80,31.972458333333336,54.42203333333333,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-06-29,2026-07-05,WS-QC,QUALITY_INSPECTOR,2,2,95.981,31.826399999999996,80,39.782999999999994,48.17360000000001,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-06-29,2026-07-05,WS-WHEEL-SUB,WHEEL_ASSEMBLY_TECHNICIAN,2,2,95.981,46.42355,120,38.68629166666667,73.57645,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-07-06,2026-07-12,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TECHNICIAN,2,2,175.9839,67.09263833333333,80,83.86579791666666,12.907361666666674,HIGH_UTILIZATION_WARNING,False,True,False,80.0,95.0,True,False,HIGH_LABOR_UTILIZATION_REVIEW,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-07-06,2026-07-12,WS-FINAL-ASM,FINAL_ASSEMBLY_OPERATOR,2,2,175.9839,128.25248,160,80.1578,31.74752000000001,HIGH_UTILIZATION_WARNING,False,True,False,80.0,95.0,True,False,HIGH_LABOR_UTILIZATION_REVIEW,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-07-06,2026-07-12,WS-FORK-SUSP,SUSPENSION_TECHNICIAN,1,1,76.9741,40.03661833333334,80,50.04577291666668,39.96338166666666,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-07-06,2026-07-12,WS-FRAME-PREP,FRAME_TECHNICIAN,2,2,175.9839,73.325435,80,91.65679374999999,6.674565000000001,HIGH_UTILIZATION_WARNING,False,True,False,80.0,95.0,True,False,HIGH_LABOR_UTILIZATION_REVIEW,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-07-06,2026-07-12,WS-PACK,PACKAGING_OPERATOR,2,2,175.9839,46.745111666666666,80,58.431389583333335,33.254888333333334,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
PHASE4-MPS-20260701140123,2026-07-06,2026-07-12,WS-QC,QUALITY_INSPECTOR,2,2,175.9839,58.16011,80,72.70013750000001,21.839889999999997,FEASIBLE,False,False,False,80.0,95.0,False,False,LOW_OR_NORMAL_LABOR_LOAD,MPS_ROUTING_LABOR_SKILL_LOAD,PHASE4_OPERATION_DETAIL_ROUTING_LABOR_MASTER,True
