planning_run_id,finished_sku,from_operation_id,to_operation_id,dependency_type,edge_lag_minutes,parallel_group_id,merge_edge_flag,edge_validation_status,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,ROAD-OP-010,ROAD-OP-020,PARALLEL_BRANCH,0.0,ROAD-PG-01,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,ROAD-OP-010,ROAD-OP-030,PARALLEL_BRANCH,0.0,ROAD-PG-01,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,ROAD-OP-020,ROAD-OP-040,MERGE_DEPENDENCY,0.0,ROAD-PG-01,True,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,ROAD-OP-030,ROAD-OP-040,MERGE_DEPENDENCY,0.0,ROAD-PG-01,True,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,ROAD-OP-040,ROAD-OP-050,FINISH_TO_START,0.0,,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,ROAD-OP-050,ROAD-OP-060,FINISH_TO_START,0.0,,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-010,MT-OP-020,PARALLEL_BRANCH,0.0,MT-PG-01,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-010,MT-OP-030,PARALLEL_BRANCH,0.0,MT-PG-01,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-010,MT-OP-040,PARALLEL_BRANCH,0.0,MT-PG-01,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-020,MT-OP-050,MERGE_DEPENDENCY,0.0,MT-PG-01,True,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-030,MT-OP-050,MERGE_DEPENDENCY,0.0,MT-PG-01,True,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-040,MT-OP-050,MERGE_DEPENDENCY,0.0,MT-PG-01,True,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-050,MT-OP-060,FINISH_TO_START,0.0,,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,MT-OP-060,MT-OP-070,FINISH_TO_START,0.0,,False,VALID,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
