planning_run_id,period_start,period_end,workstation_id,workstation_name,workstation_capacity_status,workstation_utilization_pct,capacity_gap_hours,machine_constraint_flag,labor_constraint_flag,labor_high_utilization_warning_flag,estimated_queue_pressure_score,estimated_queue_pressure_level,estimated_wip_risk_level,routing_join_pressure_flag,parallel_merge_pressure_flag,period_bottleneck_visibility_score,period_bottleneck_visibility_level,period_bottleneck_reason,evidence_type,confirmation_status,source_phase,advisory_only_flag
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,OVERLOADED,111.2408735632184,-4.074816666666663,False,False,False,60.0,HIGH,HIGH,False,False,81.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,OVERLOADED,128.06496551724138,-10.17355,False,False,False,60.0,HIGH,HIGH,False,False,81.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,WS-BRAKE-SUB,Brake Subassembly Station,OVERLOADED,101.40354022988504,-0.5087833333333265,False,False,False,60.0,HIGH,HIGH,False,False,81.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,WS-FORK-SUSP,Fork and Suspension Prep Station,FEASIBLE,60.57133333333332,14.29289166666667,False,False,False,0.0,LOW,LOW,False,False,0.0,LOW,LOW_PLANNING_BOTTLENECK_EVIDENCE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,WS-FINAL-ASM,Final Assembly Station,OVERLOADED,193.7973333333333,-34.00153333333333,False,False,False,115.0,CRITICAL,CRITICAL,True,True,134.0,CRITICAL,WORKSTATION_OVERLOAD;QUEUE_PRESSURE;ROUTING_JOIN_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,WS-QC,Final Quality Control Station,NEAR_CAPACITY,87.79696551724136,4.423600000000004,False,False,False,15.0,LOW,LOW,False,False,9.0,LOW,LOW_PLANNING_BOTTLENECK_EVIDENCE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,WS-PACK,Packaging Station,FEASIBLE,70.55990804597701,10.672033333333331,False,False,False,0.0,LOW,LOW,False,False,0.0,LOW,LOW_PLANNING_BOTTLENECK_EVIDENCE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,WS-FRAME-PREP,Frame Preparation Station,OVERLOADED,202.2770620689655,-37.075435,False,False,True,100.0,CRITICAL,CRITICAL,False,False,115.0,HIGH,WORKSTATION_OVERLOAD;LABOR_STRESS_WARNING;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,WS-WHEEL-SUB,Wheel Subassembly Station,OVERLOADED,233.8143310344828,-48.50769500000001,False,False,False,100.0,CRITICAL,CRITICAL,False,False,125.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,WS-BRAKE-SUB,Brake Subassembly Station,OVERLOADED,185.08314022988503,-30.842638333333326,False,False,True,100.0,CRITICAL,CRITICAL,False,False,115.0,HIGH,WORKSTATION_OVERLOAD;LABOR_STRESS_WARNING;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,WS-FORK-SUSP,Fork and Suspension Prep Station,OVERLOADED,110.44584367816093,-3.7866183333333368,False,False,False,60.0,HIGH,HIGH,False,False,81.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,WS-FINAL-ASM,Final Assembly Station,OVERLOADED,353.79994482758616,-92.00248,False,False,True,185.0,CRITICAL,CRITICAL,True,True,206.0,CRITICAL,WORKSTATION_OVERLOAD;LABOR_STRESS_WARNING;QUEUE_PRESSURE;ROUTING_JOIN_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,WS-QC,Final Quality Control Station,OVERLOADED,160.4416827586207,-21.910110000000003,False,False,False,80.0,HIGH,HIGH,False,False,93.0,HIGH,WORKSTATION_OVERLOAD;QUEUE_PRESSURE,CAPACITY_AND_ESTIMATED_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5B_BOTTLENECK_VISIBILITY,True
