planning_run_id,period_start,period_end,workstation_id,workstation_name,operation_count,finished_sku_count,total_planned_production_qty,required_setup_hours,required_run_hours,required_move_hours,total_required_hours,available_hours,utilization_pct,capacity_gap_hours,capacity_status,overload_flag,near_capacity_flag,no_capacity_record_flag,workstation_capacity_basis,workstation_capacity_unit_count,effective_workstation_available_hours,workstation_capacity_interpretation,capacity_planning_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260628165504,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,2,2,95.981,0.7333333333333334,31.593066666666665,7.9984166666666665,40.32481666666666,36.25,111.24087356321839,-4.074816666666663,OVERLOADED,True,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_OVERLOADED,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,2,2,95.981,0.43333333333333335,37.9918,7.9984166666666665,46.42355,36.25,128.06496551724138,-10.173549999999999,OVERLOADED,True,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_OVERLOADED,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-06-29,2026-07-05,WS-BRAKE-SUB,Brake Subassembly Station,2,2,95.981,0.3666666666666667,28.393699999999995,7.9984166666666665,36.75878333333333,36.25,101.40354022988505,-0.5087833333333265,OVERLOADED,True,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_OVERLOADED,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-06-29,2026-07-05,WS-FORK-SUSP,Fork and Suspension Prep Station,1,1,41.9815,0.26666666666666666,18.191983333333333,3.498458333333333,21.95710833333333,36.25,60.57133333333332,14.29289166666667,FEASIBLE,False,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_FEASIBLE,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-06-29,2026-07-05,WS-FINAL-ASM,Final Assembly Station,2,2,95.981,0.6666666666666666,59.98676666666667,9.598099999999999,70.25153333333333,36.25,193.7973333333333,-34.00153333333333,OVERLOADED,True,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_OVERLOADED,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-06-29,2026-07-05,WS-QC,Final Quality Control Station,2,2,95.981,0.23333333333333334,25.194333333333333,6.3987333333333325,31.826399999999996,36.25,87.79696551724136,4.423600000000004,NEAR_CAPACITY,False,True,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_NEAR_CAPACITY,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-06-29,2026-07-05,WS-PACK,Packaging Station,2,2,95.981,0.18333333333333335,20.59558333333333,4.799049999999999,25.57796666666667,36.25,70.55990804597701,10.672033333333331,FEASIBLE,False,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_FEASIBLE,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-07-06,2026-07-12,WS-FRAME-PREP,Frame Preparation Station,2,2,175.9839,0.7333333333333334,57.92677666666667,14.665325000000001,73.325435,36.25,202.2770620689655,-37.075435,OVERLOADED,True,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_OVERLOADED,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-07-06,2026-07-12,WS-WHEEL-SUB,Wheel Subassembly Station,2,2,175.9839,0.43333333333333335,69.65903666666667,14.665325000000001,84.75769500000001,36.25,233.81433103448282,-48.50769500000001,OVERLOADED,True,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_OVERLOADED,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
PHASE4-MPS-20260628165504,2026-07-06,2026-07-12,WS-BRAKE-SUB,Brake Subassembly Station,2,2,175.9839,0.3666666666666667,52.06064666666667,14.665325000000001,67.09263833333333,36.25,185.08314022988503,-30.842638333333326,OVERLOADED,True,False,False,SINGLE_STATION_CALENDAR,1,36.25,SINGLE_CALENDAR_SLOT_OVERLOADED,MPS_ROUTING_WORKSTATION_LOAD,PHASE4_MPS_ROUTING_RESOURCE_CALENDAR,True
