planning_run_id,review_item_id,period_start,period_end,workstation_id,workstation_name,issue_type,issue_severity,issue_description,main_constraint_layer,utilization_pct,capacity_gap_hours,suggested_review_action,auto_action_allowed,advisory_only_flag
PHASE4-MPS-20260628165504,CAP-REV-0001,2026-06-29,2026-07-05,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=4, machine_constraints=0, labor_hard_overloads=0.",WORKSTATION_CALENDAR,193.7973333333333,-19.37015833333331,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0002,2026-07-06,2026-07-12,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,353.79994482758616,-244.62008833333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0003,2026-07-13,2026-07-19,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0004,2026-07-20,2026-07-26,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0005,2026-07-27,2026-08-02,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0006,2026-08-03,2026-08-09,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0007,2026-08-10,2026-08-16,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0008,2026-08-17,2026-08-23,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0009,2026-08-24,2026-08-30,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0010,2026-08-31,2026-09-06,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0011,2026-09-07,2026-09-13,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0012,2026-09-14,2026-09-20,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0013,2026-09-21,2026-09-27,ALL,All Workstations,PERIOD_NOT_CAPACITY_FEASIBLE,CRITICAL,"Capacity review required: workstation_overloads=7, machine_constraints=0, labor_hard_overloads=0.",MULTI_LAYER,354.5433011494253,-245.5901683333334,REVIEW_MPS_VOLUME,False,True
PHASE4-MPS-20260628165504,CAP-REV-0014,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,WORKSTATION_OVERLOAD,HIGH,Frame Preparation Station has OVERLOADED workstation calendar load.,WORKSTATION_CALENDAR,111.24087356321839,-4.074816666666663,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260628165504,CAP-REV-0015,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD,HIGH,Wheel Subassembly Station has OVERLOADED workstation calendar load.,WORKSTATION_CALENDAR,128.06496551724138,-10.173549999999999,REVIEW_WORKSTATION_CALENDAR,False,True
