planning_run_id,wip_buffer_id,wip_buffer_name,wip_item_id,linked_workstation_id,current_wip_qty,accepted_wip_qty,blocked_wip_qty,min_buffer_qty,target_buffer_qty,max_buffer_qty,available_buffer_capacity_qty,buffer_utilization_pct,buffer_status,upstream_can_continue_flag,downstream_can_resume_from_wip_flag,impacted_schedule_candidate_count,schedule_blockers_reduced_count,schedule_blockers_remaining_count,buffer_schedule_impact_status,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,BUF-ROAD-FRAME-WHEEL,Road Frame Wheel Branch Line Buffer,WIP-ROAD-FRAME-TO-WHEEL,WS-WHEEL-SUB,0.0,0.0,0.0,10.0,50.0,80.0,80.0,0.0,BELOW_MINIMUM,True,False,14,0,14,BUFFER_BELOW_TARGET_BUILD_WIP,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-ROAD-FRAME-BRAKE,Road Frame Brake Branch Line Buffer,WIP-ROAD-FRAME-TO-BRAKE,WS-BRAKE-SUB,0.0,0.0,0.0,10.0,50.0,80.0,80.0,0.0,BELOW_MINIMUM,True,False,14,0,14,BUFFER_BELOW_TARGET_BUILD_WIP,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-ROAD-WHEEL,Road Wheel Set WIP Storage,WIP-ROAD-WHEEL-SET-READY,WS-FINAL-ASM,42.0,40.0,2.0,20.0,80.0,120.0,78.0,35.0,WITHIN_TARGET,True,True,14,14,14,BUFFER_PROTECTS_DOWNSTREAM,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-ROAD-BRAKE,Road Brake Set WIP Storage,WIP-ROAD-BRAKE-SET-READY,WS-FINAL-ASM,38.0,38.0,0.0,20.0,80.0,120.0,82.0,31.6667,WITHIN_TARGET,True,True,14,14,14,BUFFER_PROTECTS_DOWNSTREAM,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-ROAD-ASM,Road Assembled Bike QC Buffer,WIP-ROAD-FINAL-ASSEMBLY-READY,WS-QC,16.0,0.0,2.0,5.0,35.0,60.0,44.0,26.6667,WITHIN_TARGET,True,False,14,0,14,BUFFER_CAN_ABSORB_UPSTREAM,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-ROAD-QC,Road QC Passed Packaging Buffer,WIP-ROAD-QC-PASSED,WS-PACK,20.0,20.0,0.0,5.0,35.0,60.0,40.0,33.3333,WITHIN_TARGET,True,True,14,14,14,BUFFER_PROTECTS_DOWNSTREAM,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-MT-FRAME-FORK,Mountain Frame Fork Branch Line Buffer,WIP-MT-FRAME-TO-FORK,WS-FORK-SUSP,0.0,0.0,0.0,10.0,50.0,80.0,80.0,0.0,BELOW_MINIMUM,True,False,14,0,14,BUFFER_BELOW_TARGET_BUILD_WIP,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-MT-FRAME-WHEEL,Mountain Frame Wheel Branch Line Buffer,WIP-MT-FRAME-TO-WHEEL,WS-WHEEL-SUB,0.0,0.0,0.0,10.0,50.0,80.0,80.0,0.0,BELOW_MINIMUM,True,False,14,0,14,BUFFER_BELOW_TARGET_BUILD_WIP,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-MT-FRAME-BRAKE,Mountain Frame Brake Branch Line Buffer,WIP-MT-FRAME-TO-BRAKE,WS-BRAKE-SUB,0.0,0.0,0.0,10.0,50.0,80.0,80.0,0.0,BELOW_MINIMUM,True,False,14,0,14,BUFFER_BELOW_TARGET_BUILD_WIP,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-MT-FORK,Mountain Fork WIP Storage,WIP-MT-FORK-READY,WS-FINAL-ASM,30.0,0.0,2.0,20.0,80.0,120.0,90.0,25.0,WITHIN_TARGET,True,False,14,0,14,BUFFER_CAN_ABSORB_UPSTREAM,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260721170405,BUF-MT-WHEEL,Mountain Wheel Set WIP Storage,WIP-MT-WHEEL-SET-READY,WS-FINAL-ASM,45.0,45.0,0.0,20.0,80.0,120.0,75.0,37.5,WITHIN_TARGET,True,True,14,14,14,BUFFER_PROTECTS_DOWNSTREAM,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
