planning_run_id,node_id,node_type,schedule_candidate_id,finished_sku,operation_id,operation_name,workstation_id,workstation_name,proposed_start_datetime,proposed_end_datetime,critical_path_flag,slack_time_minutes,utilization_pct,bottleneck_status,material_readiness_status,wip_readiness_status,buffer_status,blocker_type,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629-MT-OP-010,OPERATION,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,,2026-06-29T08:00,2026-07-01T12:37,True,0.0,87.9651,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629-MT-OP-020,OPERATION,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,,2026-07-01T12:37,2026-07-06T14:21,False,0.137604,80.9252,HIGH,NO_DIRECT_COMPONENT_CHECK,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629-MT-OP-030,OPERATION,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,,2026-07-01T12:37,2026-07-06T14:26,True,0.0,81.2569,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629-MT-OP-040,OPERATION,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,,2026-07-01T12:37,2026-07-06T08:42,False,8.206437,61.4572,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629-MT-OP-050,OPERATION,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,,2026-07-06T14:21,2026-07-14T08:59,True,0.0,75.1448,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629-MT-OP-060,OPERATION,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WS-QC,,2026-07-14T08:59,2026-07-16T10:20,True,0.0,72.9117,HIGH,NO_DIRECT_COMPONENT_CHECK,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629-MT-OP-070,OPERATION,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-070,Packaging,WS-PACK,,2026-07-16T10:20,2026-07-17T15:04,True,0.0,82.6166,HIGH,NO_DIRECT_COMPONENT_CHECK,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260629-ROAD-OP-010,OPERATION,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,,2026-06-29T08:00,2026-07-01T14:41,True,0.0,97.4699,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260629-ROAD-OP-020,OPERATION,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,,2026-07-01T14:41,2026-07-07T12:09,True,0.0,72.996,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260629-ROAD-OP-030,OPERATION,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,,2026-07-01T14:41,2026-07-06T12:24,False,7.825185,67.0752,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260629-ROAD-OP-040,OPERATION,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,,2026-07-14T08:59,2026-07-21T13:52,True,0.0,94.5825,CRITICAL,MATERIAL_READY_FOR_OPERATION,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260629-ROAD-OP-050,OPERATION,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-050,Final Quality Control,WS-QC,,2026-07-21T13:52,2026-07-23T11:53,True,0.0,57.5222,HIGH,NO_DIRECT_COMPONENT_CHECK,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260629-ROAD-OP-060,OPERATION,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-060,Packaging,WS-PACK,,2026-07-23T11:53,2026-07-27T11:04,True,0.0,62.8818,HIGH,NO_DIRECT_COMPONENT_CHECK,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260706-MT-OP-010,OPERATION,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,,2026-07-06T08:00,2026-07-10T14:22,True,0.0,97.5992,CRITICAL,MATERIAL_BLOCKED_REVIEW,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,MATERIAL,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260706-MT-OP-020,OPERATION,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,,2026-07-10T14:22,2026-07-20T13:54,False,0.137604,84.7874,HIGH,NO_DIRECT_COMPONENT_CHECK,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,WIP_REVIEW,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260706-MT-OP-030,OPERATION,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,,2026-07-10T14:22,2026-07-20T13:08,True,0.0,83.2802,CRITICAL,MATERIAL_BLOCKED_REVIEW,WIP_STATUS_NOT_CANDIDATE_SPECIFIC_REVIEW,,MATERIAL,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
