planning_run_id,schedule_candidate_id,finished_sku,component_sku,required_qty,available_qty,mrp_period_status,period_gross_requirement_qty,period_net_requirement_qty,projected_component_ending_inventory,projected_component_shortage_qty,inventory_coverage_basis,supplier_coverage_status,material_readiness_status,material_blocker_flag,note_no_inventory_consumption_flag,note_no_inventory_reservation_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,SKU-COMP-BOLT-KIT-001,41.9815,460.0,COVERED_BY_COMPONENT_INVENTORY,95.981,0.0,364.019,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,41.9815,148.0,COVERED_BY_COMPONENT_INVENTORY,95.981,0.0,52.019,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,41.9815,143.0,COVERED_BY_COMPONENT_INVENTORY,95.981,0.0,47.019,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,SKU-COMP-FRAME-MT-001,41.9815,82.0,COVERED_BY_COMPONENT_INVENTORY,41.9815,0.0,40.0185,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,SKU-COMP-PEDAL-SET-001,41.9815,166.0,COVERED_BY_COMPONENT_INVENTORY,95.981,0.0,70.019,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,SKU-COMP-TIRE-MT-29,83.963,278.0,COVERED_BY_COMPONENT_INVENTORY,83.963,0.0,194.037,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,SKU-COMP-WHEEL-MT-29,83.963,192.0,COVERED_BY_COMPONENT_INVENTORY,83.963,0.0,108.037,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,SKU-COMP-BOLT-KIT-001,76.9741,460.0,COVERED_BY_COMPONENT_INVENTORY,175.9839,0.0,188.0351,0.0,PERIOD_LEVEL_MRP_PROJECTED_INVENTORY,COVERED,MATERIAL_READY,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,76.9741,148.0,NET_REQUIREMENT_IDENTIFIED,175.9839,123.9649,0.0,0.0,SUPPLIER_COVERAGE_REVIEW,COVERED,SUPPLIER_COVERED_REVIEW,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260721170405,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,76.9741,143.0,NET_REQUIREMENT_IDENTIFIED,175.9839,128.9649,0.0,0.0,SUPPLIER_COVERAGE_REVIEW,COVERED,SUPPLIER_COVERED_REVIEW,False,True,True,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
