planning_run_id,schedule_candidate_id,finished_sku,operation_id,operation_name,workstation_id,machine_id,candidate_schedule_period,candidate_schedule_day,candidate_schedule_shift,original_schedule_candidate_status,original_material_readiness_status,original_capacity_feasibility_status,original_maintenance_feasibility_status,required_input_wip_item_id,output_wip_item_id,related_wip_buffer_id,accepted_wip_available_qty,required_wip_qty,wip_shortage_qty,available_buffer_capacity_qty,downstream_can_resume_from_wip_flag,upstream_can_build_wip_flag,wip_reduces_schedule_blocker_flag,remaining_material_blocker_flag,remaining_capacity_blocker_flag,remaining_maintenance_blocker_flag,remaining_wip_blocker_flag,wip_aware_schedule_status,wip_aware_feasibility_score,source_phase,advisory_only_flag
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,M-FRAME-JIG-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,CAPACITY_BLOCKED,MAINTENANCE_BLOCKED,,WIP-MT-FRAME-TO-FORK,,0.0,0.0,0.0,0.0,False,True,False,False,True,True,False,MULTI_BLOCKED_AFTER_WIP,0.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,M-FORK-BENCH-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,FEASIBLE,MAINTENANCE_BLOCKED,WIP-MT-FRAME-TO-FORK,WIP-MT-FORK-READY,BUF-MT-FRAME-FORK,0.0,41.9815,41.9815,80.0,False,True,False,False,False,True,True,MULTI_BLOCKED_AFTER_WIP,30.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,M-WHEEL-TRUE-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,CAPACITY_BLOCKED,MAINTENANCE_BLOCKED,WIP-MT-FRAME-TO-WHEEL,WIP-MT-WHEEL-SET-READY,BUF-MT-FRAME-WHEEL,0.0,41.9815,41.9815,80.0,False,True,False,False,True,True,True,MULTI_BLOCKED_AFTER_WIP,5.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,M-BRAKE-BENCH-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,CAPACITY_BLOCKED,MAINTENANCE_BLOCKED,WIP-MT-FRAME-TO-BRAKE,WIP-MT-BRAKE-SET-READY,BUF-MT-FRAME-BRAKE,0.0,41.9815,41.9815,80.0,False,True,False,False,True,True,True,MULTI_BLOCKED_AFTER_WIP,5.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,M-FINAL-STAND-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,CAPACITY_BLOCKED,MAINTENANCE_BLOCKED,WIP-MT-FORK-READY,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-FORK,0.0,41.9815,41.9815,90.0,False,True,False,False,True,True,True,MULTI_BLOCKED_AFTER_WIP,5.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,M-FINAL-STAND-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,CAPACITY_BLOCKED,MAINTENANCE_BLOCKED,WIP-MT-WHEEL-SET-READY,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-WHEEL,45.0,41.9815,0.0,75.0,True,True,True,False,True,True,False,MULTI_BLOCKED_AFTER_WIP,25.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,M-FINAL-STAND-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,CAPACITY_BLOCKED,MAINTENANCE_BLOCKED,WIP-MT-BRAKE-SET-READY,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-BRAKE,39.0,41.9815,2.981499999999997,80.0,True,True,True,False,True,True,False,MULTI_BLOCKED_AFTER_WIP,23.58,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WS-QC,M-QC-TOOLS-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,HIGH_UTILIZATION_WARNING,MAINTENANCE_BLOCKED,WIP-MT-FINAL-ASSEMBLY-READY,WIP-MT-QC-PASSED,BUF-MT-ASM,0.0,41.9815,41.9815,48.0,False,True,False,False,False,True,True,MULTI_BLOCKED_AFTER_WIP,30.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-070,Packaging,WS-PACK,M-PACK-BENCH-001,2026-06-29,2026-06-29,SHIFT-A,MULTI_BLOCKED,MATERIAL_READY,FEASIBLE,MAINTENANCE_BLOCKED,WIP-MT-QC-PASSED,,BUF-MT-QC,18.0,41.9815,23.981499999999997,42.0,True,False,True,False,False,True,False,MAINTENANCE_STILL_BLOCKED,38.575,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,M-FRAME-JIG-001,2026-07-06,2026-07-07,SHIFT-B,MULTI_BLOCKED,SUPPLIER_COVERED_REVIEW,CAPACITY_BLOCKED,MAINTENANCE_BLOCKED,,WIP-MT-FRAME-TO-FORK,,0.0,0.0,0.0,0.0,False,True,False,False,True,True,False,MULTI_BLOCKED_AFTER_WIP,0.0,PHASE4_STEP8D_WIP_AWARE_SCHEDULE_FEASIBILITY,True
