planning_run_id,period_start,period_end,finished_sku,operation_id,workstation_id,defective_units,direct_scrap_units,rework_failure_units,discount_review_units,other_defect_disposition_units,total_expected_loss_units,final_expected_good_units,defect_disposition_balance_status,final_quality_balance_status,disposition_model_basis,expected_scrap_units,expected_rework_failure_units,potential_replacement_unit_exposure,material_loss_review_required_flag,note_no_mrp_change_flag,confirmation_status,advisory_only_flag
PHASE4-MPS-20260630115526,2026-06-29,2026-07-05,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,1.67926,0.2099075,0.08396299999999998,0.0,0.6297225,0.9235929999999999,41.057907,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.2099075,0.08396299999999998,0.9235929999999999,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-06-29,2026-07-05,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,2.099075,0.335852,0.22670010000000004,0.0,0.5037780000000001,1.0663301,40.915169899999995,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.335852,0.22670010000000004,1.0663301,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-06-29,2026-07-05,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,2.099075,0.335852,0.17632230000000002,0.0,0.5037780000000001,1.0159523,40.965547699999995,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.335852,0.17632230000000002,1.0159523,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-06-29,2026-07-05,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,1.4693525,0.2099075,0.08396299999999998,0.0,0.41981500000000005,0.7136855,41.2678145,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.2099075,0.08396299999999998,0.7136855,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-06-29,2026-07-05,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,2.938705,0.503778,0.3778334999999999,0.0,0.5457595000000003,1.427371,40.554128999999996,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.503778,0.3778334999999999,1.427371,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-06-29,2026-07-05,SKU-BIKE-MT-001,MT-OP-060,WS-QC,1.8891674999999999,0.251889,0.16792600000000005,0.0,0.587741,1.0075560000000001,40.973943999999996,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.251889,0.16792600000000005,1.0075560000000001,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-06-29,2026-07-05,SKU-BIKE-MT-001,MT-OP-070,WS-PACK,0.83963,0.0,0.004198150000000004,0.0,0.6297225,0.63392065,41.34757935,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.0,0.004198150000000004,0.63392065,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-06,2026-07-12,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,3.0789640000000005,0.38487050000000006,0.15394819999999998,0.0,1.1546115000000001,1.6934302,75.28066980000001,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.38487050000000006,0.15394819999999998,1.6934302,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-06,2026-07-12,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,3.8487050000000007,0.6157928000000001,0.4156601400000002,0.0,0.9236892000000002,1.9551421400000004,75.01895786000001,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.6157928000000001,0.4156601400000002,1.9551421400000004,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-06,2026-07-12,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,3.8487050000000007,0.6157928000000001,0.32329122000000005,0.0,0.9236892000000002,1.8627732200000002,75.11132678000001,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.6157928000000001,0.32329122000000005,1.8627732200000002,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-06,2026-07-12,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,2.6940935000000006,0.38487050000000006,0.15394819999999998,0.0,0.7697410000000002,1.3085597000000002,75.66554030000002,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.38487050000000006,0.15394819999999998,1.3085597000000002,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-06,2026-07-12,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,5.388187000000001,0.9236892000000001,0.6927669,0.0,1.0006633000000007,2.617119400000001,74.3569806,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.9236892000000001,0.6927669,2.617119400000001,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-06,2026-07-12,SKU-BIKE-MT-001,MT-OP-060,WS-QC,3.4638345000000004,0.46184460000000005,0.3078964000000001,0.0,1.0776374000000002,1.8473784000000004,75.1267216,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.46184460000000005,0.3078964000000001,1.8473784000000004,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-06,2026-07-12,SKU-BIKE-MT-001,MT-OP-070,WS-PACK,1.5394820000000002,0.0,0.007697410000000008,0.0,1.1546115000000001,1.1623089100000001,75.81179109,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.0,0.007697410000000008,1.1623089100000001,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-13,2026-07-19,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,3.0789640000000005,0.38487050000000006,0.15394819999999998,0.0,1.1546115000000001,1.6934302,75.28066980000001,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.38487050000000006,0.15394819999999998,1.6934302,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-13,2026-07-19,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,3.8487050000000007,0.6157928000000001,0.4156601400000002,0.0,0.9236892000000002,1.9551421400000004,75.01895786000001,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.6157928000000001,0.4156601400000002,1.9551421400000004,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-13,2026-07-19,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,3.8487050000000007,0.6157928000000001,0.32329122000000005,0.0,0.9236892000000002,1.8627732200000002,75.11132678000001,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.6157928000000001,0.32329122000000005,1.8627732200000002,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-13,2026-07-19,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,2.6940935000000006,0.38487050000000006,0.15394819999999998,0.0,0.7697410000000002,1.3085597000000002,75.66554030000002,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.38487050000000006,0.15394819999999998,1.3085597000000002,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-13,2026-07-19,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,5.388187000000001,0.9236892000000001,0.6927669,0.0,1.0006633000000007,2.617119400000001,74.3569806,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.9236892000000001,0.6927669,2.617119400000001,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
PHASE4-MPS-20260630115526,2026-07-13,2026-07-19,SKU-BIKE-MT-001,MT-OP-060,WS-QC,3.4638345000000004,0.46184460000000005,0.3078964000000001,0.0,1.0776374000000002,1.8473784000000004,75.1267216,BALANCED,BALANCED,DEFECT_DISPOSITION_RECONCILIATION,0.46184460000000005,0.3078964000000001,1.8473784000000004,True,True,PLANNING_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,True
