planning_run_id,alternative_id,shadow_wip_event_id,event_sequence,event_datetime,lot_id,lot_availability_datetime,lot_selection_method,lot_beginning_qty,lot_drawn_qty,lot_ending_qty,shelf_life_controlled_flag,shelf_life_hours,expiration_datetime,schedule_candidate_id,operation_segment_id,finished_sku,wip_item_id,wip_buffer_id,producer_operation_id,consumer_operation_id,shadow_event_type,shadow_beginning_qty,advisory_produced_qty,advisory_drawn_qty,advisory_blocked_qty,shadow_ending_qty,buffer_max_qty,buffer_overflow_qty,shadow_balance_status,note_no_actual_wip_consumption_flag,advisory_only_flag
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00001,1,2026-06-29T08:00,LOT-START-WIP-MT-BRAKE-SET-READY-BUF-MT-BRAKE,2026-06-29T08:00,,0.0,0.0,39.0,False,,,,,,WIP-MT-BRAKE-SET-READY,BUF-MT-BRAKE,,,STARTING_ACCEPTED_WIP,0.0,39.0,0.0,0.0,39.0,120.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00002,2,2026-06-29T08:00,LOT-START-WIP-MT-QC-PASSED-BUF-MT-QC,2026-06-29T08:00,,0.0,0.0,18.0,False,,,,,,WIP-MT-QC-PASSED,BUF-MT-QC,,,STARTING_ACCEPTED_WIP,0.0,18.0,0.0,0.0,18.0,60.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00003,3,2026-06-29T08:00,LOT-START-WIP-MT-WHEEL-SET-READY-BUF-MT-WHEEL,2026-06-29T08:00,,0.0,0.0,45.0,False,,,,,,WIP-MT-WHEEL-SET-READY,BUF-MT-WHEEL,,,STARTING_ACCEPTED_WIP,0.0,45.0,0.0,0.0,45.0,120.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00004,4,2026-06-29T08:00,LOT-START-WIP-ROAD-BRAKE-SET-READY-BUF-ROAD-BRAKE,2026-06-29T08:00,,0.0,0.0,38.0,False,,,,,,WIP-ROAD-BRAKE-SET-READY,BUF-ROAD-BRAKE,,,STARTING_ACCEPTED_WIP,0.0,38.0,0.0,0.0,38.0,120.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00005,5,2026-06-29T08:00,LOT-START-WIP-ROAD-QC-PASSED-BUF-ROAD-QC,2026-06-29T08:00,,0.0,0.0,20.0,False,,,,,,WIP-ROAD-QC-PASSED,BUF-ROAD-QC,,,STARTING_ACCEPTED_WIP,0.0,20.0,0.0,0.0,20.0,60.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00006,6,2026-06-29T08:00,LOT-START-WIP-ROAD-WHEEL-SET-READY-BUF-ROAD-WHEEL,2026-06-29T08:00,,0.0,0.0,40.0,False,,,,,,WIP-ROAD-WHEEL-SET-READY,BUF-ROAD-WHEEL,,,STARTING_ACCEPTED_WIP,0.0,40.0,0.0,0.0,40.0,120.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00007,7,2026-07-01T12:37,LOT-ALT-BASELINE-PSC-SKU-BIKE-MT-001-20260629-MT-OP-010-WIP-MT-FRAME-TO-FORK,2026-07-01T12:37,,0.0,0.0,41.9815,False,,,PSC-SKU-BIKE-MT-001-20260629,,SKU-BIKE-MT-001,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,MT-OP-010,MT-OP-020,ADVISORY_PRODUCTION_TO_BUFFER,0.0,41.9815,0.0,0.0,41.9815,80.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00008,8,2026-07-01T12:37,LOT-ALT-BASELINE-PSC-SKU-BIKE-MT-001-20260629-MT-OP-010-WIP-MT-FRAME-TO-WHEEL,2026-07-01T12:37,,0.0,0.0,41.9815,False,,,PSC-SKU-BIKE-MT-001-20260629,,SKU-BIKE-MT-001,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,MT-OP-010,MT-OP-030,ADVISORY_PRODUCTION_TO_BUFFER,0.0,41.9815,0.0,0.0,41.9815,80.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00009,9,2026-07-01T12:37,LOT-ALT-BASELINE-PSC-SKU-BIKE-MT-001-20260629-MT-OP-010-WIP-MT-FRAME-TO-BRAKE,2026-07-01T12:37,,0.0,0.0,41.9815,False,,,PSC-SKU-BIKE-MT-001-20260629,,SKU-BIKE-MT-001,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,MT-OP-010,MT-OP-040,ADVISORY_PRODUCTION_TO_BUFFER,0.0,41.9815,0.0,0.0,41.9815,80.0,0.0,BALANCED,True,True
PHASE4-MPS-20260721170405,ALT-BASELINE,SWIP-ALT-BASELINE-00010,10,2026-07-01T12:37,LOT-ALT-BASELINE-PSC-SKU-BIKE-MT-001-20260629-MT-OP-010-WIP-MT-FRAME-TO-FORK,2026-07-01T12:37,FIFO,41.9815,41.9815,0.0,False,,,PSC-SKU-BIKE-MT-001-20260629,,SKU-BIKE-MT-001,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,MT-OP-010,MT-OP-020,ADVISORY_DRAW_FOR_OPERATION,41.9815,0.0,41.9815,0.0,0.0,80.0,0.0,BALANCED,True,True
