planning_run_id,period_start,period_end,finished_sku,finished_product_name,operation_id,operation_sequence,operation_name,workstation_id,planned_production_qty,setup_time_minutes,run_time_minutes_per_unit,move_time_minutes,required_setup_hours,required_run_hours,required_move_hours,total_required_hours,can_run_in_parallel_flag,parallel_group_id,join_required_before_next_flag,advisory_only_flag
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,10,Frame Preparation,WS-FRAME-PREP,41.9815,24,22,5,0.4,15.393216666666666,3.498458333333333,19.291674999999998,False,,False,True
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,20,Fork and Suspension Prep,WS-FORK-SUSP,41.9815,16,26,5,0.26666666666666666,18.191983333333333,3.498458333333333,21.95710833333333,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,30,Wheel Subassembly,WS-WHEEL-SUB,41.9815,14,26,5,0.23333333333333334,18.191983333333333,3.498458333333333,21.923775,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,40,Brake Subassembly,WS-BRAKE-SUB,41.9815,12,20,5,0.2,13.993833333333331,3.498458333333333,17.692291666666662,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,50,Final Assembly,WS-FINAL-ASM,41.9815,22,42,6,0.36666666666666664,29.38705,4.19815,33.95186666666667,False,,True,True
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,60,Final Quality Control,WS-QC,41.9815,8,18,4,0.13333333333333333,12.594449999999998,2.7987666666666664,15.526549999999997,False,,False,True
PHASE4-MPS-20260711131832,2026-06-29,2026-07-05,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,70,Packaging,WS-PACK,41.9815,6,14,3,0.1,9.795683333333333,2.099075,11.994758333333333,False,,False,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,10,Frame Preparation,WS-FRAME-PREP,76.9741,24,22,5,0.4,28.22383666666667,6.414508333333334,35.03834500000001,False,,False,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,20,Fork and Suspension Prep,WS-FORK-SUSP,76.9741,16,26,5,0.26666666666666666,33.355443333333334,6.414508333333334,40.03661833333334,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,30,Wheel Subassembly,WS-WHEEL-SUB,76.9741,14,26,5,0.23333333333333334,33.355443333333334,6.414508333333334,40.003285000000005,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,40,Brake Subassembly,WS-BRAKE-SUB,76.9741,12,20,5,0.2,25.658033333333336,6.414508333333334,32.27254166666667,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,50,Final Assembly,WS-FINAL-ASM,76.9741,22,42,6,0.36666666666666664,53.881870000000006,7.6974100000000005,61.94594666666667,False,,True,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,60,Final Quality Control,WS-QC,76.9741,8,18,4,0.13333333333333333,23.092230000000004,5.131606666666667,28.357170000000004,False,,False,True
PHASE4-MPS-20260711131832,2026-07-06,2026-07-12,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,70,Packaging,WS-PACK,76.9741,6,14,3,0.1,17.960623333333334,3.8487050000000003,21.909328333333335,False,,False,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,10,Frame Preparation,WS-FRAME-PREP,76.9741,24,22,5,0.4,28.22383666666667,6.414508333333334,35.03834500000001,False,,False,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,20,Fork and Suspension Prep,WS-FORK-SUSP,76.9741,16,26,5,0.26666666666666666,33.355443333333334,6.414508333333334,40.03661833333334,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,30,Wheel Subassembly,WS-WHEEL-SUB,76.9741,14,26,5,0.23333333333333334,33.355443333333334,6.414508333333334,40.003285000000005,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,40,Brake Subassembly,WS-BRAKE-SUB,76.9741,12,20,5,0.2,25.658033333333336,6.414508333333334,32.27254166666667,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,50,Final Assembly,WS-FINAL-ASM,76.9741,22,42,6,0.36666666666666664,53.881870000000006,7.6974100000000005,61.94594666666667,False,,True,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,60,Final Quality Control,WS-QC,76.9741,8,18,4,0.13333333333333333,23.092230000000004,5.131606666666667,28.357170000000004,False,,False,True
PHASE4-MPS-20260711131832,2026-07-13,2026-07-19,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,70,Packaging,WS-PACK,76.9741,6,14,3,0.1,17.960623333333334,3.8487050000000003,21.909328333333335,False,,False,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,10,Frame Preparation,WS-FRAME-PREP,76.9741,24,22,5,0.4,28.22383666666667,6.414508333333334,35.03834500000001,False,,False,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,20,Fork and Suspension Prep,WS-FORK-SUSP,76.9741,16,26,5,0.26666666666666666,33.355443333333334,6.414508333333334,40.03661833333334,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,30,Wheel Subassembly,WS-WHEEL-SUB,76.9741,14,26,5,0.23333333333333334,33.355443333333334,6.414508333333334,40.003285000000005,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,40,Brake Subassembly,WS-BRAKE-SUB,76.9741,12,20,5,0.2,25.658033333333336,6.414508333333334,32.27254166666667,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,50,Final Assembly,WS-FINAL-ASM,76.9741,22,42,6,0.36666666666666664,53.881870000000006,7.6974100000000005,61.94594666666667,False,,True,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,60,Final Quality Control,WS-QC,76.9741,8,18,4,0.13333333333333333,23.092230000000004,5.131606666666667,28.357170000000004,False,,False,True
PHASE4-MPS-20260711131832,2026-07-20,2026-07-26,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,70,Packaging,WS-PACK,76.9741,6,14,3,0.1,17.960623333333334,3.8487050000000003,21.909328333333335,False,,False,True
PHASE4-MPS-20260711131832,2026-07-27,2026-08-02,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,10,Frame Preparation,WS-FRAME-PREP,76.9741,24,22,5,0.4,28.22383666666667,6.414508333333334,35.03834500000001,False,,False,True
PHASE4-MPS-20260711131832,2026-07-27,2026-08-02,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,20,Fork and Suspension Prep,WS-FORK-SUSP,76.9741,16,26,5,0.26666666666666666,33.355443333333334,6.414508333333334,40.03661833333334,True,MT-PG-01,False,True
PHASE4-MPS-20260711131832,2026-07-27,2026-08-02,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,30,Wheel Subassembly,WS-WHEEL-SUB,76.9741,14,26,5,0.23333333333333334,33.355443333333334,6.414508333333334,40.003285000000005,True,MT-PG-01,False,True
